"tag","recent_questions","past_questions","growth_percentage"
"amazon-elastic-beanstalk","58166","18760","210.05"
"amazon-cognito","63467","51865","22.37"
"amazon-elb","34898","30340","15.02"
"amazon-ecs","29065","25903","12.21"
"amazon-lambda","234922","213380","10.10"
"amazon-mws","21023","19370","8.53"
"amazon-rds-aurora","9517","8781","8.38"
"amazon-cloudformation","73949","68277","8.31"
"amazon-cloudwatch","34487","32126","7.35"
"stripe-payments","147718","137679","7.29"
"amazon-redshift","103148","96587","6.79"
"applepay","10626","9983","6.44"
"applepayjs","900","849","6.01"
"amazon-sqs","46928","44269","6.01"
"amazon-glacier","5727","5406","5.94"
"google-spreadsheet","466095","440076","5.91"
"amazon-vpc","21354","20176","5.84"
"amazon-dynamodb","177469","167694","5.83"
"amazon-web-services","1898672","1794874","5.78"
"amazon-kinesis","22697","21476","5.69"
